id,name,actions,level,rarity,prerequisites,frequency,cost,trigger,requirements,description,special,canSelectMultiple,isDefault,skillID,minProf,code,isCore,genericType,genTypeName,isArchived,contentSrc,homebrewID,version,createdAt,updatedAt
9,"Ancestral Paragon",NONE,3,COMMON,NULL,NULL,NULL,NULL,NULL,"Whether through instinct, study, or magic, you feel a deeper connection to your ancestry. You gain a 1st-level ancestry feat.",NULL,0,0,NULL,NULL,GIVE-ANCESTRY-FEAT=1,0,GENERAL-FEAT,NULL,0,CRB,NULL,1.0,"2020-01-05 22:39:39","2020-01-05 22:39:39"
487,Refocus,NONE,-1,COMMON,NULL,NULL,NULL,NULL,"You have a focus pool, and you have spent at least 1 focus point since you last regained any focus points.","You spend 10 minutes performing deeds to restore your magical connection. This restores 1 Focus Point to your focus pool.
The deeds you need to perform are specified in the class or ability that gives you your focus spells. These deeds can usually overlap with other tasks that relate to the source of your focus spells. For instance, a cleric with focus spells from a good deity can usually Refocus while tending the wounds of their allies, and a wizard of the illusionist school might be able to Refocus while attempting to (action: Identify Magic) of the illusion school.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-24 18:18:46","2020-05-24 18:18:46"
488,"Affix a Talisman",NONE,-1,COMMON,NULL,NULL,NULL,NULL,"You must use a repair kit.","You spend 10 minutes affixing a talisman to an item, placing the item on a stable surface and using the repair kit with both hands. You can also use this activity to remove a talisman.
If more than one talisman is affixed to an item, the talismans are suppressed; none of them can be activated.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-24 18:21:07","2020-05-24 18:21:07"
490,"Avoid Notice",NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You attempt a Stealth check to avoid notice while traveling at half speed.
If you have the (feat: Swift Sneak) feat, you can move at full Speed rather than half, but you still can’t use another exploration activity while you do so.
If you have the (feat:Legendary Sneak) feat, you can move at full Speed and use a second exploration activity.
If you’re Avoiding Notice at the start of an encounter, you usually roll a Stealth check instead of a Perception check both to determine your initiative and to see if the enemies notice you (based on their Perception DCs, as normal for Sneak, regardless of their initiative check results).",NULL,NULL,1,17,NULL,NULL,1,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-24 22:49:57","2020-05-24 22:49:57"
521,Aid,REACTION,-1,COMMON,NULL,NULL,NULL,"An ally is about to use an action that requires a skill check or attack roll.","The ally is willing to accept your aid, and you have prepared to help (see below).","You try to help your ally with a task. To use this reaction, you must first prepare to help, usually by using an action during your turn. You must explain to the GM exactly how you’re trying to help, and they determine whether you can Aid your ally.
When you use your Aid reaction, attempt a skill check or attack roll of a type decided by the GM. The typical DC is 20, but the GM might adjust this DC for particularly hard or easy tasks. The GM can add any relevant traits to your preparatory action or to your Aid reaction depending on the situation, or even allow you to Aid checks other than skill checks and attack rolls.
Critical Success: You grant your ally a +2 circumstance bonus to the triggering check. If you’re a master with the check you attempted, the bonus is +3, and if you’re legendary, it’s +4.
Success: You grant your ally a +1 circumstance bonus to the triggering check.
Critical Failure: Your ally takes a –1 circumstance penalty to the triggering check.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:22:07","2020-05-25 23:22:07"
522,"Arrest a Fall",REACTION,-1,COMMON,NULL,NULL,NULL,"You fall.","You have a fly Speed.","You attempt an Acrobatics check to slow your fall. The DC is typically 15, but it might be higher due to air turbulence or other circumstances.
Success: You fall gently, taking no damage from the fall.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:25:03","2020-05-25 23:25:03"
523,"Avert Gaze",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You avert your gaze from danger. You gain a +2 circumstance bonus to saves against (trait: visual) abilities that require you to look at a creature or object, such as a medusa’s petrifying gaze. Your gaze remains averted until the start of your next turn.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:25:58","2020-05-25 23:25:58"
524,Burrow,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"You have a burrow Speed.","You dig your way through dirt, sand, or a similar loose material at a rate up to your burrow Speed. You can’t burrow through rock or other substances denser than dirt unless you have an ability that allows you to do so.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:28:31","2020-05-25 23:28:31"
525,Crawl,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"You are prone and your Speed is at least 10 feet.","You move 5 feet by crawling and continue to stay prone.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:29:52","2020-05-25 23:29:52"
526,Delay,FREE_ACTION,-1,COMMON,NULL,NULL,NULL,"Your turn begins.",NULL,"You wait for the right moment to act. The rest of your turn doesn’t happen yet. Instead, you’re removed from the initiative order. You can return to the initiative order as a free action triggered by the end of any other creature’s turn. This permanently changes your initiative to the new position. You can’t use reactions until you return to the initiative order. If you Delay an entire round without returning to the initiative order, the actions from the Delayed turn are lost, your initiative doesn’t change, and your next turn occurs at your original position in the initiative order.
When you Delay, any persistent damage or other negative effects that normally occur at the start or end of your turn occur immediately when you use the Delay action. Any beneficial effects that would end at any point during your turn also end. The GM might determine that other effects end when you Delay as well. Essentially, you can’t Delay to avoid negative consequences that would happen on your turn or to extend beneficial effects that would end on your turn.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:30:54","2020-05-25 23:30:54"
